R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
2,0.0,0.8,5000,10000,1,6515105119777997845,,survived,500,10000
2,0.0,0.8,5000,10000,2,-8097708741608640135,,survived,500,10000
2,0.0,0.8,5000,10000,3,4106124938616557127,,survived,500,10000
2,0.0,0.8,5000,10000,4,-2491118565528879091,,survived,500,10000
2,0.0,0.8,5000,10000,5,-5070739819594359451,,survived,500,10000
2,0.0,1.0,5000,10000,1,878187861364690024,,survived,500,10000
2,0.0,1.0,5000,10000,2,-615390776371573064,,survived,500,10000
2,0.0,1.0,5000,10000,3,-8512920417282431775,,survived,500,10000
2,0.0,1.0,5000,10000,4,6038168324312035618,,survived,500,10000
2,0.0,1.0,5000,10000,5,8559622581137489825,,survived,500,10000
2,0.5,0.0,5000,10000,1,8966220789134447242,,survived,500,10000
2,0.5,0.0,5000,10000,2,7331343497506642036,,survived,500,10000
2,0.5,0.0,5000,10000,3,8663661357408035803,,survived,500,10000
2,0.5,0.0,5000,10000,4,5912381279439795303,,survived,500,10000
2,0.5,0.0,5000,10000,5,2218017868980115382,,survived,500,10000
2,0.5,0.2,5000,10000,1,-5295589719100509540,,survived,500,10000
2,0.5,0.2,5000,10000,2,-5092025852844960999,,survived,500,10000
2,0.5,0.2,5000,10000,3,-8495370141539095783,,survived,500,10000
2,0.5,0.2,5000,10000,4,-1024843667336442993,,survived,500,10000
2,0.5,0.2,5000,10000,5,3500245229682200106,,survived,500,10000
2,0.5,0.4,5000,10000,1,6021637063001346316,,survived,500,10000
2,0.5,0.4,5000,10000,2,5541901004957991061,,survived,500,10000
2,0.5,0.4,5000,10000,3,-2793771330241822740,,survived,500,10000
2,0.5,0.4,5000,10000,4,8940418988160882333,,survived,500,10000
2,0.5,0.4,5000,10000,5,7277366321199418665,,survived,500,10000
2,0.5,0.6,5000,10000,1,2408220124087397309,,survived,500,10000
2,0.5,0.6,5000,10000,2,-7361733406196570166,,survived,500,10000
2,0.5,0.6,5000,10000,3,-5825642737723273633,,survived,500,10000
2,0.5,0.6,5000,10000,4,-6348925982416402526,,survived,500,10000
